Operation,Planned_Population_Group1,Goal1,Rights_Group1,Objective1,Year1,Indicators6,Impact_Indicator_Value_Baseline2,Impact_Indicator_Value_Imp_Target2,Impact_Indicator_Value_Comp_Target2,Impact_Indicator_Value_Mid_Year2,Impact_Indicator_Value_Year_End2,Impact_Indicator_Value_Standard2
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,40.0,60.0,60.0,,,80.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,40.0,60.0,60.0,,,80.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of youths aged 15-24 enrolled in certified training,2.0,15.0,25.0,,,50.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,Extent persons of concern have access to national education systems,60.0,70.0,80.0,,,80.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,Extent persons of concern have access to national education systems,60.0,70.0,80.0,,,80.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,20.0,30.0,40.0,,,80.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,20.0,30.0,40.0,,,80.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,31.0,45.0,45.0,,36.4,80.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,36.4,45.0,50.0,,,80.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,78.0,90.0,90.0,89.9,93.8,100.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,93.8,95.0,100.0,,,100.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,95.0,98.0,100.0,,,100.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,95.0,98.0,100.0,,,100.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,45.0,50.0,55.0,,,80.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,45.0,50.0,55.0,,,80.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are female,,,,,,50.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are female,,,,,,50.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are female,38.0,40.0,45.0,,,50.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are female,38.0,40.0,45.0,,,50.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are qualified,63.0,68.0,68.0,,54.5,70.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are qualified,54.5,75.0,75.0,,,70.0
Zambia,Refugees of various origins in camps,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are qualified,,,,,,70.0
